51	0	0
51	0	1
51	0	2
51	0	3
51	0	4
51	0	5
51	0	6
51	0	7
51	0	8
51	0	9
51	1	0
51	1	1
51	1	2
51	1	3
51	1	4
51	1	5
51	1	6
51	1	7
51	1	8
51	1	9
51	2	0
51	2	1
51	2	2
51	2	3
51	2	4
51	2	5
51	2	6
51	2	7
51	2	8
51	2	9
51	3	0
51	3	1
51	3	2
51	3	3
51	3	4
51	3	5
51	3	6
51	3	7
51	3	8
51	3	9
51	4	0
51	4	1
51	4	2
51	4	3
51	4	4
51	4	5
51	4	6
51	4	7
51	4	8
51	4	9
51	5	0
51	5	1
51	5	2
51	5	3
51	5	4
51	5	5
51	5	6
51	5	7
51	5	8
51	5	9
51	6	0
51	6	1
51	6	2
51	6	3
51	6	4
51	6	5
51	6	6
51	6	7
51	6	8
51	6	9
51	7	0
51	7	1
51	7	2
51	7	3
51	7	4
51	7	5
51	7	6
51	7	7
51	7	8
51	7	9
51	8	0
51	8	1
51	8	2
51	8	3
51	8	4
51	8	5
51	8	6
51	8	7
51	8	8
51	8	9
51	9	0
51	9	1
51	9	2
51	9	3
51	9	4
51	9	5
51	9	6
51	9	7
51	9	8
51	9	9
